Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
2022,40029,40060,60,The Hutchins School,Sandy Bay,TAS,7005,Independent,Combined,School Single Entity,Individual Reporting,http://www.hutchins.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1141,93,2,11,29,58,113,100.6,75,56.3,1017,0,1017,1017,1,17,83,0
2022,40030,42261,2261,The Cottage School,Bellerive,TAS,7018,Independent,Primary,School Single Entity,Individual Reporting,http://www.cottageschool.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-6,Inner Regional,1126,90,5,15,26,54,11,6.9,14,6.3,72,42,30,72,0,6,94,0
2022,40031,42801,2801,Launceston Christian School,Riverside,TAS,7250,Independent,Combined,School Single Entity,Individual Reporting,http://www.lcs.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1067,75,13,26,32,29,67,56.3,44,28.2,657,311,346,656.4,0,14,86,0
2022,40032,42802,2802,Leighland Christian School,Ulverstone,TAS,7315,Independent,Combined,School Head Campus,Rolled Reporting,http://www.leighland.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Outer Regional,1018,55,26,30,24,20,65,49.9,49,26.1,570,289,281,569.3,8,6,94,0
2022,40033,42803,2803,North West Christian School,Penguin,TAS,7316,Independent,Combined,School Single Entity,Individual Reporting,https://www.northwestchristianschool.com.au/,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Outer Regional,1004,48,27,22,22,29,12,11,6,4.7,106,56,50,103,17,0,99,1
2022,40035,42805,2805,St Michael's Collegiate School,Hobart,TAS,7000,Independent,Combined,School Head Campus,Rolled Reporting,http://www.collegiate.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1128,91,3,14,28,55,109,66.3,123,44,699,699,0,699,3,5,95,0
2022,40036,42809,2809,Scotch Oakburn College,Newstead,TAS,7250,Independent,Combined,School Head Campus,Rolled Reporting,http://www.soc.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1122,90,5,15,27,52,151,118.5,140,94,1112,579,533,1112,2,13,83,4
2022,40037,42816,2816,John Paul II Catholic School,Clarendon Vale,TAS,7019,Catholic,Primary,School Single Entity,Individual Reporting,http://www.johnpaul.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,938,21,51,27,16,6,20,13,21,14.1,172,82,90,172,16,11,89,0
2022,40038,42818,2818,The Launceston Preparatory School,Launceston,TAS,7250,Independent,Primary,School Single Entity,Individual Reporting,http://www.lps.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-6,Inner Regional,1138,93,1,12,29,57,13,9.6,9,5.2,112,47,65,112,0,0,100,0
2022,40039,42819,2819,Eastside Lutheran College,Warrane,TAS,7018,Independent,Combined,School Single Entity,Individual Reporting,http://www.elc.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,980,38,35,32,23,10,42,35.8,33,23,390,173,217,389.6,9,5,83,12
2022,40041,44213,4213,St Thomas More's Catholic School,Newstead,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stm.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1040,65,13,36,34,18,24,18.6,13,8.2,310,156,154,310,5,4,96,0
2022,40042,44505,4505,St Paul's Catholic School,Bridgewater,TAS,7030,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stpauls.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,883,8,68,23,8,1,17,13.8,20,11.7,172,75,97,172,23,1,99,0
2022,40043,45272,5272,Circular Head Christian School,Smithton,TAS,7330,Independent,Combined,School Single Entity,Individual Reporting,http://www.chcs.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Outer Regional,922,16,44,33,15,8,22,18.1,25,14.7,219,109,110,219,32,1,99,0
2022,40044,45918,5918,Southern Christian College,Kingston,TAS,7050,Independent,Combined,School Single Entity,Individual Reporting,http://www.scc.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1061,73,14,25,26,34,44,34.2,35,19.3,376,182,194,374.1,7,21,79,0
2022,40045,46592,6592,Brooks High School,Rocherlea,TAS,7248,Government,Secondary,School Single Entity,Individual Reporting,https://brookshigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,885,8,73,20,5,2,45,39.8,34,25.2,432,216,216,430.3,17,14,86,0
2022,40046,46593,6593,Flinders Island District High School,Whitemark,TAS,7255,Government,Combined,School Single Entity,Individual Reporting,https://flindersislanddistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Very Remote,991,42,25,24,20,32,15,11.3,13,8,93,42,51,90.5,29,0,86,14
2022,40047,46595,6595,Lilydale District School,Lilydale,TAS,7268,Government,Combined,School Single Entity,Individual Reporting,https://lilydale.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,933,19,57,26,13,4,37,30.6,29,18.6,366,180,186,351.1,9,2,97,0
2022,40048,46596,6596,Ravenswood Heights Primary School,Ravenswood,TAS,7250,Government,Primary,School Single Entity,Individual Reporting,https://ravenswoodheightsprimary.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-6,Inner Regional,813,3,87,11,2,0,26,22.9,21,14.5,297,139,158,283.6,27,0,99,1
2022,40049,46597,6597,Scottsdale High School,Scottsdale,TAS,7260,Government,Secondary,School Single Entity,Individual Reporting,https://scottsdalehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,911,13,66,25,8,1,32,28.9,25,14.6,301,144,157,294.3,7,1,96,2
2022,40050,46600,6600,Parklands High School,Romaine,TAS,7320,Government,Secondary,School Single Entity,Individual Reporting,https://parklandshigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,880,7,71,22,6,1,42,40.2,31,23.5,446,224,222,434.7,21,2,97,1
2022,40051,46601,6601,Reece High School,Devonport,TAS,7310,Government,Secondary,School Single Entity,Individual Reporting,https://reecehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,917,14,55,29,11,5,48,40.9,31,24.3,518,227,291,517.5,20,2,97,1
2022,40052,46602,6602,Ulverstone Secondary College,Ulverstone,TAS,7315,Government,Secondary,School Single Entity,Individual Reporting,https://ulverstonehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,917,14,58,27,11,4,52,45.3,39,28.2,573,265,308,560.4,19,1,99,1
2022,40053,46603,6603,Wynyard High School,Wynyard,TAS,7325,Government,Secondary,School Single Entity,Individual Reporting,https://wynyardhigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,926,17,58,25,12,5,26,22.8,20,14.7,256,117,139,255.1,16,1,99,0
2022,40054,46604,6604,Cosgrove High School,Glenorchy,TAS,7010,Government,Secondary,School Single Entity,Individual Reporting,https://cosgrovehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,856,5,76,18,5,1,33,29.3,28,21.4,335,157,178,332,27,6,92,2
2022,40056,46608,6608,Dover District School,Dover,TAS,7117,Government,Combined,School Single Entity,Individual Reporting,https://doverdistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,890,9,60,23,12,5,21,19.2,14,10.3,142,60,82,130,31,2,95,3
2022,40057,46609,6609,Geeveston Primary School,Geeveston,TAS,7116,Government,Primary,School Single Entity,Individual Reporting,https://geevestonprimary.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-6,Outer Regional,878,7,52,25,15,8,7,5.2,9,6.2,47,23,24,46.6,45,5,95,0
2022,40058,46610,6610,Huonville High School,Huonville,TAS,7109,Government,Secondary,School Single Entity,Individual Reporting,https://huonvillehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,888,8,62,25,10,3,39,32.7,29,21.9,351,162,189,342.4,27,2,96,2
2022,40059,46611,6611,Bayview Secondary College,Rokeby,TAS,7019,Government,Secondary,School Single Entity,Individual Reporting,https://bayviewsc.education.tas.edu.au,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,859,5,76,18,5,1,38,34.1,34,23.7,387,177,210,372.5,22,2,95,3
2022,40060,46614,6614,Bothwell District High School,Bothwell,TAS,7030,Government,Combined,School Single Entity,Individual Reporting,https://bothwelldistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,903,11,61,23,10,6,12,10.1,8,6.4,83,43,40,81.8,8,0,70,30
2022,40061,46615,6615,Deloraine High School,Deloraine,TAS,7304,Government,Secondary,School Single Entity,Individual Reporting,https://delorainehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,923,16,56,26,13,5,27,23.3,21,15.3,278,126,152,272.5,16,1,99,0
2022,40062,46616,6616,Glenora District School,Glenora,TAS,7140,Government,Combined,School Single Entity,Individual Reporting,https://glenoradistrictschool.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,894,9,71,22,6,2,22,19.3,18,12.7,196,90,106,188.8,15,1,97,3
2022,40063,46618,6618,New Norfolk High School,New Norfolk,TAS,7140,Government,Secondary,School Single Entity,Individual Reporting,https://newnorfolkhigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,886,8,73,19,6,2,41,37.7,30,22.9,341,161,180,338.1,16,2,97,1
2022,40064,46619,6619,Oatlands District High School,Oatlands,TAS,7120,Government,Combined,School Single Entity,Individual Reporting,https://oatlandsdistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,900,11,71,19,8,2,27,22.3,26,14.6,197,92,105,188.1,10,2,97,1
2022,40065,46620,6620,Ouse District School,Ouse,TAS,7140,Government,Primary,School Single Entity,Individual Reporting,https://ousedistrict.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-6,Outer Regional,,,,,,,2,2.2,5,2.7,10,7,3,9.6,10,0,100,0
2022,40066,46621,6621,Rosebery District School,Rosebery,TAS,7470,Government,Combined,School Single Entity,Individual Reporting,https://roseberydistrict.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Remote,858,5,81,13,5,1,13,12.4,12,9.8,78,41,37,75,18,1,96,2
2022,40067,46622,6622,St Helens District High School,St Helens,TAS,7216,Government,Combined,School Single Entity,Individual Reporting,https://sthelensdistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,962,29,42,30,17,11,45,36.2,39,22.6,524,252,272,503.9,12,3,89,8
2022,40068,46623,6623,St Marys District School,St Marys,TAS,7215,Government,Combined,School Single Entity,Individual Reporting,https://stmarysdistrict.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,918,15,59,27,11,3,36,27.7,22,14.1,291,133,158,283.5,12,1,94,5
2022,40069,46624,6624,Triabunna District School,Triabunna,TAS,7190,Government,Combined,School Single Entity,Individual Reporting,https://triabunna.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,898,10,63,23,11,3,19,16.8,16,10.8,195,96,99,190.3,21,4,87,8
2022,40070,46777,6777,Burnie High School,Cooee,TAS,7320,Government,Secondary,School Single Entity,Individual Reporting,https://burniehigh.education.tas.edu.au,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,963,30,43,31,19,7,47,43,22,17.3,551,300,251,547.8,12,2,98,0
2022,40071,46778,6778,Campbell Town District High School,Campbell Town,TAS,7210,Government,Combined,School Single Entity,Individual Reporting,https://campbelltowndistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,914,13,61,21,15,3,30,24.4,22,14.8,220,108,112,207.5,14,2,96,2
2022,40072,46779,6779,Cressy District High School,Cressy,TAS,7302,Government,Combined,School Single Entity,Individual Reporting,https://cressydistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,934,19,59,26,12,4,26,24.7,17,11.9,316,172,144,304.8,7,1,96,3
2022,40073,46780,6780,Dunalley Primary School,Dunalley,TAS,7177,Government,Primary,School Single Entity,Individual Reporting,https://dunalleyprimary.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-6,Outer Regional,972,34,38,28,25,9,11,7.5,11,7.3,91,50,41,87,15,0,82,18
2022,40074,46781,6781,Exeter High School,Exeter,TAS,7275,Government,Secondary,School Single Entity,Individual Reporting,https://exeterhigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,944,23,49,32,14,6,28,24.9,22,15,306,141,165,305.3,13,2,96,2
2022,40075,46783,6783,King Island District High School,Currie,TAS,7256,Government,Combined,School Single Entity,Individual Reporting,https://kingislanddistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Very Remote,962,29,41,31,19,10,24,19.5,18,11.5,198,93,105,188.2,4,3,95,3
2022,40076,46784,6784,Kingston High School,Kingston,TAS,7050,Government,Secondary,School Single Entity,Individual Reporting,https://kingstonhigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,998,46,32,28,23,17,57,46.7,42,27.1,639,315,324,620.2,12,6,91,3
2022,40077,46785,6785,Kings Meadows High School,Kings Meadows,TAS,7249,Government,Secondary,School Single Entity,Individual Reporting,https://kingsmeadowshs.education.tas.edu.au,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,954,26,49,31,14,6,47,45.8,30,20.7,600,294,306,597.3,9,7,93,1
2022,40080,46788,6788,Prospect High School,Prospect,TAS,7250,Government,Secondary,School Single Entity,Individual Reporting,https://prospecthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,961,29,46,33,15,5,43,38.9,31,21.5,513,244,269,509.6,7,6,93,1
2022,40081,46789,6789,Riverside High School,Riverside,TAS,7250,Government,Secondary,School Single Entity,Individual Reporting,https://riversidehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,1016,54,27,29,25,18,61,55.2,25,20.1,767,376,391,767,5,5,95,0
2022,40082,46792,6792,Smithton High School,Smithton,TAS,7330,Government,Secondary,School Single Entity,Individual Reporting,https://SmithtonHigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,884,8,63,26,8,3,32,28.6,27,21.7,348,181,167,340.1,33,0,98,2
2022,40083,46793,6793,Sorell School,Sorell,TAS,7172,Government,Combined,School Single Entity,Individual Reporting,https://sorell.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Inner Regional,923,16,61,25,11,4,72,63.7,66,46.7,848,419,429,796.2,11,2,91,7
2022,40084,46794,6794,Taroona High School,Taroona,TAS,7053,Government,Secondary,School Single Entity,Individual Reporting,https://taroonahigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,1117,89,5,15,29,51,86,74.8,37,26.5,1161,508,653,1157.3,3,17,82,1
2022,40085,46795,6795,Tasman District School,Nubeena,TAS,7184,Government,Combined,School Single Entity,Individual Reporting,https://tasman.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,917,14,60,25,10,4,27,22.3,15,9.7,174,78,96,169.1,16,2,88,10
2022,40086,46796,6796,Winnaleah District High School,Winnaleah,TAS,7265,Government,Combined,School Single Entity,Individual Reporting,https://winnaleahdistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,876,7,70,23,7,0,13,12,13,8,92,47,45,85.8,15,4,93,2
2022,40087,46797,6797,Woodbridge School,Woodbridge,TAS,7162,Government,Combined,School Single Entity,Individual Reporting,https://woodbridge.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,1003,48,27,27,29,18,44,32.6,28,17.1,325,153,172,315.5,12,3,92,5
